task_age,time_to_due,block_count,total_blocked_hours,column_change_count,time_in_current_column,dependency_count,unresolved_dependencies,assignee_count,estimateHours,difficulty,progress_ratio,is_overdue,blocked_ratio,comment_count,desc_length,assignee_workload,risk_level_label,label_score
2880.0,48.0,0,0.0,0,2880.0,0,0,2,10,3,0.9836062214459625,0,0.0,0,1049,151,1,5
0.2502813888888889,461.19678055555556,0,0.0,0,0.2502813888888889,0,0,1,2,1,0.0005423825767828694,0,0.0,0,22,46,0,0
0.2502813888888889,581.1967805555555,0,0.0,0,0.2502813888888889,0,0,1,3,1,0.0004304449619316171,0,0.0,0,21,41,0,0
0.24146638888888888,797.1967805555555,0,0.0,0,0.24146638888888888,0,0,1,4,2,0.00030280223830732935,0,0.0,0,16,41,0,0
0.24146638888888888,1133.1967805555555,0,0.0,0,0.24146638888888888,0,0,0,4,1,0.0002130386692889278,0,0.0,0,18,0,0,1
0.24146638888888888,1157.1967805555555,0,0.0,0,0.24146638888888888,0,0,1,6,2,0.00020862122096372888,0,0.0,0,16,41,0,0
0.2306213888888889,1253.1967805555555,0,0.0,0,0.2306213888888889,0,0,0,4,1,0.0001839924709948536,0,0.0,0,23,0,0,0
0.2306213888888889,1469.1967805555555,0,0.0,0,0.2306213888888889,0,0,0,6,2,0.00015694632592082436,0,0.0,0,18,0,0,0
0.2306213888888889,1541.1967805555555,0,0.0,0,0.2306213888888889,0,0,0,3,1,0.00014961537532198714,0,0.0,0,11,0,0,0
0.2306213888888889,1637.1967805555555,0,0.0,0,0.2306213888888889,0,0,1,6,2,0.00014084364764592225,0,0.0,0,11,41,0,0
0.19527444444444444,1757.1967805555555,0,0.0,0,0.19527444444444444,0,0,0,6,2,0.00011111597595589932,0,0.0,0,12,0,0,0
0.19527444444444444,1781.1967805555555,0,0.0,0,0.19527444444444444,0,0,1,4,1,0.00010961895461327284,0,0.0,0,18,41,0,0
0.19527444444444444,1805.1967805555555,0,0.0,0,0.19527444444444444,0,0,1,3,1,0.00010816173458939358,0,0.0,0,18,46,0,0
0.19527444444444444,1853.1967805555555,0,0.0,0,0.19527444444444444,0,0,1,8,3,0.00010536051374404467,0,0.0,0,17,41,0,0
2.5811919444444444,434.86587,0,0.0,0,2.5811919444444444,0,0,1,6,2,0.005900567790770676,0,0.0,0,17,40,0,0
0.19527444444444444,1901.1967805555555,0,0.0,0,0.19527444444444444,0,0,0,3,2,0.00010270072457188208,0,0.0,0,6,0,0,0
0.19527444444444444,2093.1967805555555,0,0.0,0,0.19527444444444444,0,0,1,2,1,9.328130901076503e-05,0,0.0,0,11,46,0,0
0.19527444444444444,2117.1967805555555,0,0.0,0,0.19527444444444444,0,0,0,8,3,9.222399402100827e-05,0,0.0,0,17,0,0,0
0.18973277777777778,2573.1967805555555,0,0.0,0,0.18973277777777778,0,0,1,4,2,7.372880174273291e-05,0,0.0,0,20,41,0,0
0.18973277777777778,2597.1967805555555,0,0.0,0,0.18973277777777778,0,0,1,3,1,7.304754365831455e-05,0,0.0,0,13,46,0,0
1200.0,120.0,0,0.0,0,1200.0,0,0,1,6,2,0.9090902203861967,0,0.0,0,1073,29,0,2
1632.0,24.0,0,0.0,0,1632.0,0,0,1,15,3,0.9855066512640995,0,0.0,1,1065,42,0,1
2328.0,0.0,0,0.0,0,2328.0,0,0,1,13,2,0.9999995704469198,0,0.0,0,1122,39,0,2
2616.0,72.0,0,0.0,0,2616.0,0,0,1,9,2,0.9732139236555343,0,0.0,0,1050,72,1,3
2928.0,48.0,0,0.0,0,2928.0,0,0,2,24,3,0.9838706371402428,0,0.0,0,1079,142,1,6
1992.0,72.0,0,0.0,0,1992.0,0,0,2,12,2,0.9651158114748974,0,0.0,0,1061,88,1,4
3456.0,0.0,0,0.0,0,3456.0,0,0,1,18,3,0.9999997106482318,0,0.0,0,1079,81,1,3
1752.0,-48.0,0,0.0,0,1752.0,0,0,1,14,2,0.9733327925928931,1,0.0,0,1066,48,1,6
1896.0,0.0,0,0.0,0,1896.0,0,0,2,20,2,0.9999994725741178,0,0.0,0,1046,95,1,4
2760.0,-48.0,0,0.0,0,2760.0,1,0,1,17,5,0.9829056328683643,1,0.0,0,1018,72,2,8
3144.0,-24.0,0,0.0,0,3144.0,0,0,1,17,4,0.9924239291591133,1,0.0,0,1039,76,2,8
2880.0,72.0,0,0.0,0,2880.0,1,0,1,21,3,0.975609425606563,0,0.0,0,1046,72,1,3
3024.0,-72.0,0,0.0,0,3024.0,0,0,1,36,2,0.9767438705607653,1,0.0,0,1063,80,2,7
1080.0,-24.0,0,0.0,0,1080.0,1,1,1,8,3,0.97825998346016,1,0.0,0,1034,38,2,7
2232.0,24.0,0,0.0,0,2232.0,0,0,1,19,4,0.9893612635810001,0,0.0,0,1055,57,1,3
1224.0,-72.0,0,0.0,0,1224.0,1,1,1,15,2,0.9444437157070095,1,0.0,0,1035,37,2,7
1368.0,72.0,0,0.0,0,1368.0,0,0,1,32,4,0.949999340278236,0,0.0,0,1089,39,1,3
2136.0,120.0,0,0.0,0,2136.0,1,0,2,9,4,0.9468080909538603,0,0.0,1,1011,113,1,6
1728.0,72.0,0,0.0,0,1728.0,0,0,1,8,2,0.959999466666963,0,0.0,0,1043,48,0,2
1584.0,-48.0,0,0.0,0,1584.0,0,0,1,31,3,0.9705876405712986,1,0.0,0,1080,48,1,6
1176.0,48.0,0,0.0,0,1176.0,0,0,2,16,2,0.9607835287716269,0,0.0,1,1057,80,1,3
2304.0,48.0,0,0.0,0,2304.0,1,0,2,31,3,0.9795914202417431,0,0.0,0,1034,113,1,4
3360.0,-48.0,0,0.0,0,3360.0,1,0,2,6,4,0.9859152036633791,1,0.0,0,1056,153,2,10
1824.0,-48.0,0,0.0,0,1824.0,1,0,1,12,5,0.9743584538683473,1,0.0,0,1045,53,2,8
1248.0,-24.0,0,0.0,0,1248.0,0,0,1,28,2,0.9811313041420565,1,0.0,0,1059,43,1,6
1608.0,72.0,0,0.0,0,1608.0,1,1,1,12,1,0.9571422874153052,0,0.0,0,1021,35,1,4
1368.0,0.0,0,0.0,0,1368.0,0,0,2,11,3,0.9999992690063824,0,0.0,1,1035,80,1,3
2688.0,-72.0,0,0.0,0,2688.0,0,0,2,25,3,0.9739126906113439,1,0.0,0,1038,151,2,9
1848.0,24.0,0,0.0,0,1848.0,0,0,2,11,3,0.9871789598402992,0,0.0,0,1098,89,1,3
